duygu,atasözü_deyim,anlam
üzgün,Her işte bir hayır vardır,Başa gelen her olayın bir sebebi ve hayırlı bir yönü olabilir.
üzgün,Gamına gam katma,Üzüntüyü artırmamak gerekir.
mutlu,Mutluluk paylaşıldıkça artar,Mutluluk başkalarıyla paylaşıldığında daha da büyür.
mutlu,Neşe içinde yaşayanın ömrü uzun olur,Sevinçli ve mutlu yaşamak sağlığa iyi gelir.
sinirli,Öfkeyle kalkan zararla oturur,Öfke ile yapılan işler genelde pişmanlıkla sonuçlanır.
sinirli,Sinir küpü olmak,Çok sinirli ve öfkeli olmak.
korkulu,Korkunun ecele faydası yoktur,Korkmak tehlikeli durumları değiştirmez.
korkulu,Korku rüyaları gerçek yapar,Korkularımız bizi gerçekten korktuğumuz şeylere sürükler.
sevinçli,Sevincin gözü kördür,Çok sevinen insan tehlikeleri göremez.
sevinçli,Sevinç gözyaşları dökmek,Sevinçten ağlamak.
heyecanlı,Heyecanla beklemek,Sabırsızlıkla beklemek.
heyecanlı,Heyecanı dorukta olmak,En yüksek heyecan seviyesinde olmak.
endişeli,Endişe etmek boşuna,Endişelenmek fayda sağlamaz.
endişeli,Endişeden gözüne uyku girmemek,Endişeden uyuyamamak.
umutlu,Umutla beklemek,İyimser bir şekilde beklemek.
umutlu,Umut ışığı görmek,Çıkış yolu bulmak.
gururlu,Gurur duymak,Övünmek.
gururlu,Gururuna yedirememek,Gururunu incitmek.
şaşkın,Şaşkınlıktan ağzı açık kalmak,Çok şaşırmak.
şaşkın,Şaşkınlıktan küçük dilini yutmak,Çok şaşırmak.
kızgın,Kızgınlıktan küplere binmek,Çok öfkelenmek.
kızgın,Kızgınlıktan kendini kaybetmek,Öfkeden kontrolü kaybetmek.
üzüntülü,Üzüntüden içi parçalanmak,Çok üzülmek.
üzüntülü,Üzüntüden gözüne uyku girmemek,Üzüntüden uyuyamamak.
neşeli,Neşesi yerinde olmak,Çok mutlu olmak.
neşeli,Neşesi kaçmak,Sevinci bozulmak.
kaygılı,Kaygıdan gözüne uyku girmemek,Kaygıdan uyuyamamak.
kaygılı,Kaygıdan içi parçalanmak,Çok kaygılanmak.
hevesli,Hevesi kursağında kalmak,Bir şeye çok heveslenip yapamamak veya hayal kırıklığına uğramak.
hevesli,Hevesle dolup taşmak,Bir şeyi yapma konusunda büyük bir istek duymak.
pişman,Pişman olacağı bir iş yapmak,Sonradan üzüleceği bir davranışta bulunmak.
